true I(max)-I(400),predicted I(max)-I(400)
1.348320822218517,1.3274770131294282
1.313870439182742,1.2820133392691928
1.200646455579681,1.1960359082261967
1.272664724355081,1.2887380274413185
1.248166351228486,1.2895776380985486
1.321356858303868,1.313600297351257
1.349280338680856,1.3351380816999425
1.316467442924102,1.319905687458823
1.275885637649627,1.277377408908524
1.181944779504415,1.2385511668399958
1.247824181201626,1.2655513108335896
1.305673687578001,1.348320822218518
1.296417861475689,1.279036277193919
1.325400379484944,1.29347945206728
1.308016612128855,1.2910734056235522
