true I nm,predicted I nm
533.181,536.1663000000003
535.253,535.1315000000001
535.253,535.3305250000001
535.253,535.1662750000003
533.181,539.7518249999999
532.835,537.2704500000001
535.253,534.7335499999998
535.253,538.5629999999999
535.943,534.8467750000001
535.253,538.4174249999999
535.253,536.1749000000002
535.253,538.7167499999998
541.114,535.8050000000002
538.013,534.7675500000001
537.323,534.8211250000002
538.702,538.8991499999998
537.323,536.46625
533.872,538.7852999999998
533.872,533.6203999999996
540.081,537.46775
539.047,536.5890750000001
536.978,535.9343749999998
542.835,535.519
542.835,537.613
542.835,539.3706749999998
539.047,538.5279499999999
542.835,538.4244250000002
539.047,539.7776499999998
542.835,540.8373499999999
536.978,534.9850250000002
535.253,537.5803500000003
533.181,535.373475
535.253,536.8400000000003
533.526,535.2529000000003
535.253,536.6051250000002
532.835,536.8807500000001
535.598,536.2173499999999
538.013,536.3302250000002
533.181,535.3720999999999
535.253,538.0892250000003
538.013,536.1672500000002
535.253,534.32855
535.253,536.7182500000005
532.835,534.4761249999999
535.253,536.6923000000003
535.253,535.295425
535.253,535.9775
538.013,535.4686249999999
535.598,536.0810000000002
538.013,535.6325000000002
535.253,537.0863500000002
535.253,535.4942000000001
536.978,537.6162500000002
538.013,536.037875
535.253,535.0716750000004
535.253,536.2534000000002
535.253,535.2530000000004
535.253,535.3220000000003
