true I(650),predicted I(650)
0.1406305915679655,0.1572817098113433
0.1711133357505688,0.1785260273347975
0.1858376681554117,0.1938594358642512
0.1468177249131897,0.1484001823499145
0.1961182186439107,0.17034838145551692
0.1575007897282764,0.15235856824748842
0.1557481503928119,0.17009352660548505
0.1427256699277479,0.13727276867072608
0.1756137672426389,0.1609139451498774
0.1938594358642513,0.19569163125123223
0.207735363923902,0.18243081927784607
0.1307279702572391,0.1427256699277478
0.1609139451498775,0.16712967661766212
0.1751479602629404,0.1986376015559613
0.1426276037363062,0.14466939604583268
