true I(max) - I(650),predicted I(max) - I(650)
0.1650316056743476,0.16224569324451543
0.1741202839996198,0.16803735510329865
0.1268947917198363,0.12981462807156016
0.1383588320182156,0.1354654073847294
0.1228341531063386,0.12717110262779538
0.1326824951070791,0.13290649833732163
0.1274855945078786,0.130785496170063
0.119094920815536,0.12566839938669055
0.1320650411128516,0.13121723228517473
0.1272459860122259,0.1298294858682459
0.1268268777667735,0.1361418192848418
0.1679851452787295,0.16838100426768135
0.141934413962936,0.14003324369520903
0.1653274825454373,0.16455773272706048
0.1393449625604399,0.13310468363826808
0.1445401495998845,0.14322558950072606
0.1456380668068996,0.14137046193062025
0.158838152433375,0.1604038486620793
0.1727312009947923,0.17027879184486766
0.1512142349964321,0.15178888513970432
0.1501701437236423,0.14883585169175095
0.1608819914415765,0.15938658866615713
0.1436252257648821,0.14525819269553872
0.1717574231378368,0.17263607206456175
0.154876712564167,0.15194670255547377
0.1689260437855755,0.1669322378522266
0.1517829548150245,0.15593485249551153
0.1640196556964734,0.1626538801559875
0.1610858392485905,0.16133632509979628
0.1536071756289013,0.15044907406743574
