true I(450),predicted I(450)
0.1146768188575001,0.13579917162412855
0.1222888671458308,0.1458605439588907
0.09746301320316883,0.10232211548702333
0.09535435347007415,0.11533788755535805
0.09266475925796157,0.10730368508168697
0.1075847739557713,0.11742599697053144
0.1030833273863122,0.10302182795100252
0.1055819376066804,0.10620764552814788
0.1057741422372935,0.10247125503736679
0.1157965122876641,0.11725581963628455
0.1107126111326194,0.10646403962582707
0.1346204561643252,0.13091174643409303
0.1316348914046813,0.1405004045672565
0.142334504566529,0.14592268174417894
0.122530676945047,0.10602394307079241
0.1308723198435514,0.11278370424260731
0.1300230378228115,0.11844262942713976
0.1416396071296631,0.13179018416257765
0.1580790620958338,0.1491390960868651
0.1482510111379287,0.15417883878922134
0.1470253857452461,0.1448573462402582
0.1466298875719278,0.14266000005079343
0.136008077639381,0.12301238177549505
0.1620987861714664,0.1598906709236541
0.1455081792867788,0.14764158769162175
0.1618389124942934,0.16166358065076208
0.1450676479312069,0.14897027077532474
0.1626680449802808,0.16005238791611187
0.1578688578761119,0.1554131201450436
0.152979221171454,0.13743969112109258
