true I(max),predicted I(max)
0.1940269085450173,0.2166849288056271
0.1741866538283856,0.1804720634574038
0.1659792345307979,0.17317015996894972
0.191599412929388,0.1522691257311868
0.1596377482701545,0.1621463416066991
0.186344129660138,0.17345381332985937
0.1826409922401896,0.1955978216590269
0.1731701599689496,0.1659792345307978
0.1898981103168601,0.22306563603761903
0.1827393712244224,0.1719641738442556
0.2003354252976523,0.16059813001263645
0.2107776540571131,0.19112500287436718
0.1604415652285484,0.17252547206400676
0.1659849652022194,0.19515651079633914
0.1497575405704615,0.14979864823938654
0.2457957542239154,0.22810679931126812
0.2126846000497848,0.16400608667726818
0.1428379602075075,0.14573837815704066
0.1679217448484646,0.16013472334429674
0.1911250028743674,0.219887951852136
0.1605066691896386,0.1502103913968008
0.1614456874602481,0.16359068717919956
0.1396438038227,0.1510812061254887
0.1624466219551781,0.16132886615451336
0.1497635791340829,0.16373554451085695
0.2257758319465479,0.17951483740656915
0.1786367664165569,0.2265070084278305
0.1537603141825035,0.2091395124448762
0.1580591882541408,0.172836181243959
0.1692478094192078,0.17816830902346095
0.2452373454470085,0.17082633505007003
0.247963500715273,0.20611697808679663
0.1462625231830738,0.19049156994682745
0.1734556903166783,0.16380622803520234
