v AA,v TC,coef A
1.68,0.74,-6.0435873183164364e-05
1.6877386934673366,0.74,-6.0435873183164364e-05
1.6954773869346733,0.74,-6.0435873183164364e-05
1.70321608040201,0.74,-6.0435873183164364e-05
1.7109547738693467,0.74,-6.0435873183164364e-05
1.7186934673366834,0.74,-6.0435873183164364e-05
1.72643216080402,0.74,-6.0435873183164364e-05
1.7341708542713568,0.74,-6.0435873183164364e-05
1.7419095477386934,0.74,-6.0435873183164364e-05
1.7496482412060301,0.74,-6.0435873183164364e-05
1.7573869346733668,0.74,-6.0435873183164364e-05
1.7651256281407035,0.74,-6.0435873183164364e-05
1.7728643216080402,0.74,-6.0435873183164364e-05
1.7806030150753769,0.74,-6.0435873183164364e-05
1.7883417085427136,0.74,-6.0435873183164364e-05
1.7960804020100503,0.74,-6.0435873183164364e-05
1.803819095477387,0.74,-6.0435873183164364e-05
1.8115577889447236,0.74,-6.0435873183164364e-05
1.8192964824120603,0.74,-6.0435873183164364e-05
1.827035175879397,0.74,-6.0435873183164364e-05
1.8347738693467337,0.74,-6.0435873183164364e-05
1.8425125628140704,0.74,-6.0435873183164364e-05
1.850251256281407,0.74,-6.0435873183164364e-05
1.8579899497487438,0.74,-6.0435873183164364e-05
1.8657286432160805,0.74,-6.0435873183164364e-05
1.8734673366834171,0.74,-6.0435873183164364e-05
1.8812060301507538,0.74,-6.0435873183164364e-05
1.8889447236180905,0.74,-6.0435873183164364e-05
1.896683417085427,0.74,-6.0435873183164364e-05
1.9044221105527637,0.74,-6.0435873183164364e-05
1.9121608040201004,0.74,-6.0435873183164364e-05
1.919899497487437,0.74,-6.09231524352693e-05
1.9276381909547737,0.74,-6.189771093947918e-05
1.9353768844221104,0.74,-6.189771093947918e-05
1.943115577889447,0.74,-6.189771093947918e-05
1.9508542713567838,0.74,-6.214135056553165e-05
1.9585929648241205,0.74,-6.311590906974153e-05
1.9663316582914572,0.74,-6.384682794789895e-05
1.9740703517587939,0.74,-6.384682794789895e-05
1.9818090452261306,0.74,-6.384682794789895e-05
1.9895477386934672,0.74,-6.409046757395142e-05
1.997286432160804,0.74,-6.409046757395142e-05
2.0050251256281406,0.74,-6.409046757395142e-05
2.0127638190954773,0.74,-6.409046757395142e-05
2.020502512562814,0.74,-6.457774682605635e-05
2.0282412060301507,0.74,-6.482138645210882e-05
2.0359798994974874,0.74,-6.555230533026624e-05
2.043718592964824,0.74,-6.603958458237118e-05
2.0514572864321607,0.74,-6.630414385062872e-05
2.0591959798994974,0.74,-6.703506272878613e-05
2.066934673366834,0.74,-6.703506272878613e-05
2.074673366834171,0.74,-6.776598160694355e-05
2.0824120603015075,0.74,-6.874054011115343e-05
2.090150753768844,0.74,-6.89841797372059e-05
2.097889447236181,0.74,-6.947145898931083e-05
2.1056281407035176,0.74,-6.898331169020418e-05
2.1133668341708542,0.74,-6.85054535074951e-05
2.121105527638191,0.74,-6.803909389759523e-05
2.1288442211055276,0.74,-6.645132712445015e-05
2.1365829145728643,0.74,-6.550710933184121e-05
2.144321608040201,0.74,-6.550710933184121e-05
2.1520603015075377,0.74,-6.504074972194134e-05
2.1597989949748744,0.74,-6.504074972194134e-05
2.167537688442211,0.74,-6.504074972194134e-05
2.1752763819095478,0.74,-6.504074972194134e-05
2.1830150753768844,0.74,-6.504074972194134e-05
2.190753768844221,0.74,-6.408503335652317e-05
2.198492462311558,0.74,-6.205269466268501e-05
2.2062311557788945,0.74,-6.205269466268501e-05
2.213969849246231,0.74,-6.10764000644717e-05
2.221708542713568,0.74,-6.10764000644717e-05
2.2294472361809046,0.74,-6.058825276536506e-05
2.2371859296482413,0.74,-6.05676745325699e-05
2.244924623115578,0.74,-6.05676745325699e-05
2.2526633165829146,0.74,-6.05676745325699e-05
2.2604020100502513,0.74,-6.007952723346326e-05
2.268140703517588,0.74,-6.007952723346326e-05
2.2758793969849247,0.74,-5.9591379934356605e-05
2.2836180904522614,0.74,-5.9591379934356605e-05
2.291356783919598,0.74,-5.9591379934356605e-05
2.2990954773869348,0.74,-5.9591379934356605e-05
2.3068341708542714,0.74,-5.9591379934356605e-05
2.314572864321608,0.74,-5.9591379934356605e-05
2.322311557788945,0.74,-5.9591379934356605e-05
2.3300502512562815,0.74,-5.9591379934356605e-05
2.337788944723618,0.74,-5.9591379934356605e-05
2.345527638190955,0.74,-5.9125020324456745e-05
2.3532663316582916,0.74,-5.8626583908952505e-05
2.3610050251256283,0.74,-5.861629479255493e-05
2.368743718592965,0.74,-5.861629479255493e-05
2.3764824120603016,0.74,-5.814993518265507e-05
2.3842211055276383,0.74,-5.7217215962855344e-05
2.391959798994975,0.74,-5.6750856352955484e-05
2.3996984924623117,0.74,-5.626270905384883e-05
