true weight,predicted weight
0.2726403104196091,0.2497174166049382
0.2629725537250219,0.21901991871432708
0.2123274362201383,0.19193269850105493
0.2057262830392859,0.16728501426217215
0.2409277060172083,0.16231506378890606
0.2504285915713274,0.2129228046719284
0.2740616963193881,0.2744487545123452
0.241880527737626,0.18705032276681116
0.2308472913196574,0.2313291519509823
0.2650191658542811,0.2507463655929095
0.2468768572111044,0.25893266681020755
0.2279923436850461,0.19875038089901473
0.2847783362043197,0.27026643691406294
0.2155872829253541,0.22537706387156523
0.1812560196902657,0.22418035641000436
0.1614130822452697,0.17241742852526581
0.1780841369031461,0.1586872813591705
0.1489157988824208,0.14826538586664423
0.1743410960320039,0.1802375423477007
0.1707608099260265,0.1856929626671896
0.1619109787669298,0.1929390806607029
0.1778220626434587,0.2373704813758637
0.1703023740453806,0.1600507145075164
0.0,0.25232027857804007
0.1890231433374868,0.24765047082537456
0.1970399379275538,0.20550130610677084
0.1495063729416944,0.15548395990369546
0.1546708099155831,0.17746427595484066
0.1396920542291087,0.1400012662619236
0.2298053648407587,0.2183615571265153
0.1978518220659541,0.23550773583967902
0.1331395822953075,0.14161165836281042
0.1564760370621788,0.16559738444554
