true coef A,predicted coef A
-4.307275015544434e-05,-4.924759084512662e-05
-4.351684730727598e-05,-4.387242568199617e-05
-4.82610024419143e-05,-4.2101539369504134e-05
-4.406889554038158e-05,-5.2942719344970196e-05
-4.844198401776235e-05,-4.534768039493989e-05
-3.479929610500823e-05,-3.70163018395475e-05
-3.271959474618515e-05,-3.499363186499274e-05
-5.546364383123107e-05,-4.5621636862383104e-05
-4.350011236767217e-05,-4.677934330852347e-05
-4.623905384225282e-05,-4.775273014985956e-05
-4.977489329379623e-05,-4.503791558838565e-05
-3.499208231195337e-05,-4.716561267385741e-05
-3.022573054348444e-05,-3.271959474618515e-05
-4.462882639185181e-05,-5.711935910890553e-05
-4.455197786516497e-05,-4.3751034390541496e-05
-5.211498553379311e-05,-4.967915317838856e-05
-6.258530843360315e-05,-4.870201322869889e-05
-5.086990458430256e-05,-5.2908665651965896e-05
-4.98894295292733e-05,-5.153340517340257e-05
-5.332597460153557e-05,-4.8775948164979615e-05
-4.389621721644745e-05,-4.46597102822723e-05
-5.635416063982501e-05,-6.020660760965973e-05
-4.706247924507226e-05,-5.221856784212696e-05
-5.804888871132474e-05,-5.489219874434912e-05
-5.004379979328676e-05,-5.070498839225835e-05
-5.393538793955956e-05,-5.518173714552046e-05
-5.130264973296165e-05,-5.546590394506236e-05
-5.323768043374022e-05,-4.766861772893725e-05
