true I(max),predicted I(max)
0.1533518110929726,0.16108739576836578
0.1262279520643319,0.16840828770149632
0.1305467768048452,0.1332547037585399
0.1281524476729305,0.13866485998757794
0.1467739725293752,0.14743327550922555
0.1278690134822897,0.12702206929763782
0.1247774105427899,0.12506477057049806
0.1476374782421774,0.1371184878639104
0.1673549456067156,0.16287630722902952
0.1493678537679528,0.14755464534292273
0.1551057044087813,0.16077651790446748
0.1408237543294718,0.16091689288697164
0.1185668909401154,0.1247774105427899
0.1699472281569415,0.20270850246816585
0.1796725996400625,0.1415996658438179
0.1988295294943661,0.19062434487200136
0.22276546351961,0.19288834557725038
0.2014395483819878,0.20843905549897226
0.196495336085485,0.2030925600771615
0.2066458577673262,0.20224218859039228
0.1877148071822762,0.17971517964520897
0.2301794208632827,0.2290881197946321
0.2007368281172766,0.20563713648204773
0.2344890448928223,0.2266221762914291
0.2073782062838123,0.20335633617400778
0.2256180036108331,0.2277945966596227
0.2177529243098235,0.22145639767840203
0.2018371638254278,0.19939448595750597
