true I(450),predicted I(450)
0.08571890599648349,0.09957808095730343
0.07485518368521409,0.1158851408428663
0.07254666419758668,0.07867854267182407
0.07272162121116978,0.07736853827154373
0.08322166929824121,0.0855582010237795
0.07126215364401167,0.07276580215695497
0.07281228596651801,0.06990744474597686
0.08632344726603527,0.07871894368859597
0.1021146479523631,0.09525494801505219
0.08782655354946631,0.08381885119786137
0.09068708833398155,0.0941725431880074
0.08168005295732284,0.09408766226932437
0.0651247120436319,0.07281228596651794
0.1007447300440321,0.13187334598152
0.1300230378228115,0.09802502145921162
0.1416396071296631,0.12075264167512859
0.1580790620958338,0.13581298809721537
0.1482510111379287,0.15101350327025087
0.1470253857452461,0.14772551853093888
0.1466298875719278,0.14500864478050313
0.136008077639381,0.13409277412293588
0.1620987861714664,0.15957249204423166
0.1455081792867788,0.14728085562709842
0.1618389124942934,0.15951664873213645
0.1450676479312069,0.1514654715515942
0.1626680449802808,0.1603501420124755
0.1578688578761119,0.15665330901915347
0.152979221171454,0.14362391069631575
