true weight75,predicted weight75
42.40800000000002,40.27687500000004
39.99700000000007,35.684824999999975
39.64400000000001,41.396550000000005
39.98099999999999,38.60840000000003
40.00300000000004,40.08097500000004
44.11099999999999,42.64677499999995
43.44499999999994,43.29814999999994
37.91800000000001,40.19925000000003
40.37300000000005,40.93039999999999
40.68100000000004,40.09707500000004
40.36199999999997,41.12545000000003
43.11599999999999,40.144475
45.15999999999997,43.44499999999994
41.41099999999994,37.73969999999996
32.83199999999999,37.05940000000005
33.85699999999997,38.59070000000005
34.87199999999996,38.98517499999993
35.20400000000006,34.98547499999999
34.51900000000001,35.673424999999995
35.22400000000005,34.7205
34.89599999999996,34.763925000000015
36.94299999999998,35.854199999999956
35.22400000000005,35.16702500000001
38.31900000000007,36.26694999999999
37.28599999999994,35.18912500000003
37.26499999999999,37.177199999999985
36.24299999999994,36.956799999999994
33.82900000000006,35.422149999999995
