v AA,v TC,I nm
1.68,0.74,538.702
1.6877386934673366,0.74,538.702
1.6954773869346733,0.74,538.702
1.70321608040201,0.74,538.702
1.7109547738693467,0.74,538.702
1.7186934673366834,0.74,538.702
1.72643216080402,0.74,538.702
1.7341708542713568,0.74,538.702
1.7419095477386934,0.74,538.702
1.7496482412060301,0.74,538.702
1.7573869346733668,0.74,538.702
1.7651256281407035,0.74,538.702
1.7728643216080402,0.74,538.702
1.7806030150753769,0.74,538.702
1.7883417085427136,0.74,538.702
1.7960804020100503,0.74,538.702
1.803819095477387,0.74,538.702
1.8115577889447236,0.74,538.702
1.8192964824120603,0.74,538.702
1.827035175879397,0.74,538.702
1.8347738693467337,0.74,538.702
1.8425125628140704,0.74,538.702
1.850251256281407,0.74,538.702
1.8579899497487438,0.74,538.702
1.8657286432160805,0.74,538.702
1.8734673366834171,0.74,538.702
1.8812060301507538,0.74,538.702
1.8889447236180905,0.74,538.702
1.896683417085427,0.74,538.702
1.9044221105527637,0.74,538.5726999999999
1.9121608040201004,0.74,538.4865
1.919899497487437,0.74,538.4865
1.9276381909547737,0.74,538.4433999999999
1.9353768844221104,0.74,538.3571999999999
1.943115577889447,0.74,538.2278999999999
1.9508542713567838,0.74,538.1847999999999
1.9585929648241205,0.74,538.1416999999999
1.9663316582914572,0.74,538.0985999999999
1.9740703517587939,0.74,538.0123999999998
1.9818090452261306,0.74,537.9692999999999
1.9895477386934672,0.74,537.8830999999998
1.997286432160804,0.74,537.7968999999998
2.0050251256281406,0.74,537.7106999999997
2.0127638190954773,0.74,537.7106999999997
2.020502512562814,0.74,537.5813999999997
2.0282412060301507,0.74,537.4520999999996
2.0359798994974874,0.74,537.4089999999995
2.043718592964824,0.74,537.4089999999995
2.0514572864321607,0.74,537.3658999999996
2.0591959798994974,0.74,537.3227999999996
2.066934673366834,0.74,537.1072999999996
2.074673366834171,0.74,537.1072999999996
2.0824120603015075,0.74,537.0641999999996
2.090150753768844,0.74,536.9779999999995
2.097889447236181,0.74,536.9779999999995
2.1056281407035176,0.74,536.9779999999995
2.1133668341708542,0.74,536.9866249999995
2.121105527638191,0.74,536.9866249999995
2.1288442211055276,0.74,536.9866249999995
2.1365829145728643,0.74,536.9952499999996
2.144321608040201,0.74,536.9952499999996
2.1520603015075377,0.74,536.9952499999996
2.1597989949748744,0.74,536.9952499999996
2.167537688442211,0.74,536.9952499999996
2.1752763819095478,0.74,536.9952499999996
2.1830150753768844,0.74,537.0124999999996
2.190753768844221,0.74,537.0383749999995
2.198492462311558,0.74,537.0556249999996
2.2062311557788945,0.74,537.0556249999996
2.213969849246231,0.74,537.0556249999996
2.221708542713568,0.74,537.0556249999996
2.2294472361809046,0.74,537.0642499999997
2.2371859296482413,0.74,537.0642499999997
2.244924623115578,0.74,537.0642499999997
2.2526633165829146,0.74,537.0642499999997
2.2604020100502513,0.74,537.0642499999997
2.268140703517588,0.74,537.0642499999997
2.2758793969849247,0.74,537.0642499999997
2.2836180904522614,0.74,537.0642499999997
2.291356783919598,0.74,537.0556249999996
2.2990954773869348,0.74,537.0556249999996
2.3068341708542714,0.74,537.0556249999996
2.314572864321608,0.74,537.0556249999996
2.322311557788945,0.74,537.0556249999996
2.3300502512562815,0.74,537.0469999999996
2.337788944723618,0.74,537.0469999999996
2.345527638190955,0.74,537.0383749999995
2.3532663316582916,0.74,537.0383749999995
2.3610050251256283,0.74,537.0297499999995
2.368743718592965,0.74,537.0297499999995
2.3764824120603016,0.74,537.0297499999995
2.3842211055276383,0.74,537.0297499999995
2.391959798994975,0.74,537.0297499999995
2.3996984924623117,0.74,537.0297499999995
2.4074371859296484,0.74,537.0297499999995
2.415175879396985,0.74,537.1418249999996
2.4229145728643218,0.74,537.1418249999996
2.4306532663316585,0.74,537.1849249999996
2.438391959798995,0.74,537.2538999999996
2.446130653266332,0.74,537.2969999999996
2.4538693467336685,0.74,537.3228749999996
2.461608040201005,0.74,537.3659749999997
2.469346733668342,0.74,537.4608249999998
2.4770854271356786,0.74,537.5039249999998
2.4848241206030153,0.74,537.5039249999998
2.492562814070352,0.74,537.5987749999997
2.5003015075376887,0.74,537.5987749999997
2.5080402010050253,0.74,537.5987749999997
2.515778894472362,0.74,537.5643249999998
2.5235175879396987,0.74,537.5470999999999
2.5312562814070354,0.74,537.5988499999999
2.538994974874372,0.74,537.5385249999997
2.546733668341709,0.74,537.5212999999998
2.5544723618090455,0.74,537.5212999999998
2.562211055276382,0.74,537.5212999999998
2.569949748743719,0.74,537.5040749999998
2.5776884422110555,0.74,537.5127249999998
2.585427135678392,0.74,537.5127249999998
2.593165829145729,0.74,537.5127249999998
2.6009045226130656,0.74,537.4954999999998
2.6086432160804023,0.74,537.4954999999998
2.616381909547739,0.74,537.4954999999998
2.6241206030150757,0.74,537.4178749999998
2.6318592964824123,0.74,537.3661249999997
2.639597989949749,0.74,537.3661249999997
2.6473366834170857,0.74,537.3143749999996
2.6550753768844224,0.74,537.2884999999995
2.662814070351759,0.74,537.1849999999996
2.670552763819096,0.74,537.1332499999996
2.6782914572864325,0.74,537.0814999999996
2.686030150753769,0.74,537.0297499999995
2.693768844221106,0.74,537.0297499999995
2.7015075376884425,0.74,536.9779999999995
2.7092462311557792,0.74,536.9003499999995
2.716984924623116,0.74,536.8226999999995
2.7247236180904526,0.74,536.7450499999995
2.7324623115577893,0.74,536.5897499999995
2.740201005025126,0.74,536.5897499999995
2.7479396984924627,0.74,536.4344499999995
2.7556783919597994,0.74,536.3567999999996
2.763417085427136,0.74,536.2791499999996
2.7711557788944727,0.74,536.2791499999996
2.7788944723618094,0.74,536.1238499999996
2.786633165829146,0.74,536.0461999999995
2.794371859296483,0.74,535.8908999999996
2.8021105527638195,0.74,535.8132499999996
2.809849246231156,0.74,535.6579499999996
2.817587939698493,0.74,535.4249999999996
2.8253266331658295,0.74,535.4249999999996
2.8330653266331662,0.74,535.2696999999996
2.840804020100503,0.74,535.1143999999997
2.8485427135678396,0.74,534.9590999999997
2.8562814070351763,0.74,534.8814499999996
2.864020100502513,0.74,534.6484999999996
2.8717587939698497,0.74,534.5708499999996
2.8794974874371864,0.74,534.4931999999997
2.887236180904523,0.74,534.4931999999997
2.8949748743718597,0.74,534.3378999999996
2.9027135678391964,0.74,534.2602499999996
2.910452261306533,0.74,534.2602499999996
2.91819095477387,0.74,534.4068499999996
2.925929648241206,0.74,534.6223999999997
2.9336683417085427,0.74,534.9155999999998
2.9414070351758794,0.74,535.0621999999998
2.949145728643216,0.74,535.2087999999999
2.956884422110553,0.74,535.502
2.9646231155778895,0.74,535.502
2.972361809045226,0.74,535.6485999999999
2.980100502512563,0.74,535.7951999999999
2.9878391959798996,0.74,535.9418
2.9955778894472362,0.74,536.0884
3.003316582914573,0.74,536.235
3.0110552763819096,0.74,536.235
3.0187939698492463,0.74,536.235
3.026532663316583,0.74,536.235
3.0342713567839197,0.74,536.235
3.0420100502512564,0.74,536.235
3.049748743718593,0.74,536.235
3.0574874371859297,0.74,536.235
3.0652261306532664,0.74,536.235
3.072964824120603,0.74,536.235
3.08070351758794,0.74,536.235
3.0884422110552765,0.74,536.235
3.096180904522613,0.74,536.235
3.10391959798995,0.74,536.235
3.1116582914572866,0.74,536.235
3.1193969849246233,0.74,536.235
3.12713567839196,0.74,536.235
3.1348743718592966,0.74,536.235
3.1426130653266333,0.74,536.235
3.15035175879397,0.74,536.235
3.1580904522613067,0.74,536.235
3.1658291457286434,0.74,536.235
3.17356783919598,0.74,536.235
3.1813065326633168,0.74,536.235
3.1890452261306534,0.74,536.235
3.19678391959799,0.74,536.235
3.204522613065327,0.74,536.235
3.2122613065326635,0.74,536.235
3.22,0.74,536.235
1.68,0.749145728643216,538.702
1.6877386934673366,0.749145728643216,538.702
1.6954773869346733,0.749145728643216,538.702
1.70321608040201,0.749145728643216,538.702
1.7109547738693467,0.749145728643216,538.702
1.7186934673366834,0.749145728643216,538.702
1.72643216080402,0.749145728643216,538.702
1.7341708542713568,0.749145728643216,538.702
1.7419095477386934,0.749145728643216,538.702
1.7496482412060301,0.749145728643216,538.702
1.7573869346733668,0.749145728643216,538.702
1.7651256281407035,0.749145728643216,538.702
1.7728643216080402,0.749145728643216,538.702
1.7806030150753769,0.749145728643216,538.702
1.7883417085427136,0.749145728643216,538.702
1.7960804020100503,0.749145728643216,538.702
1.803819095477387,0.749145728643216,538.702
1.8115577889447236,0.749145728643216,538.702
1.8192964824120603,0.749145728643216,538.702
1.827035175879397,0.749145728643216,538.702
1.8347738693467337,0.749145728643216,538.702
1.8425125628140704,0.749145728643216,538.702
1.850251256281407,0.749145728643216,538.702
1.8579899497487438,0.749145728643216,538.702
1.8657286432160805,0.749145728643216,538.702
1.8734673366834171,0.749145728643216,538.702
1.8812060301507538,0.749145728643216,538.702
1.8889447236180905,0.749145728643216,538.702
1.896683417085427,0.749145728643216,538.702
1.9044221105527637,0.749145728643216,538.5726999999999
1.9121608040201004,0.749145728643216,538.4865
1.919899497487437,0.749145728643216,538.4865
1.9276381909547737,0.749145728643216,538.4433999999999
1.9353768844221104,0.749145728643216,538.3571999999999
1.943115577889447,0.749145728643216,538.2278999999999
1.9508542713567838,0.749145728643216,538.1847999999999
1.9585929648241205,0.749145728643216,538.1416999999999
1.9663316582914572,0.749145728643216,538.0985999999999
1.9740703517587939,0.749145728643216,538.0123999999998
1.9818090452261306,0.749145728643216,537.9692999999999
1.9895477386934672,0.749145728643216,537.8830999999998
1.997286432160804,0.749145728643216,537.7968999999998
2.0050251256281406,0.749145728643216,537.7106999999997
2.0127638190954773,0.749145728643216,537.7106999999997
2.020502512562814,0.749145728643216,537.5813999999997
2.0282412060301507,0.749145728643216,537.4520999999996
2.0359798994974874,0.749145728643216,537.4089999999995
2.043718592964824,0.749145728643216,537.4089999999995
2.0514572864321607,0.749145728643216,537.3658999999996
2.0591959798994974,0.749145728643216,537.3227999999996
2.066934673366834,0.749145728643216,537.1072999999996
2.074673366834171,0.749145728643216,537.1072999999996
2.0824120603015075,0.749145728643216,537.0641999999996
2.090150753768844,0.749145728643216,536.9779999999995
2.097889447236181,0.749145728643216,536.9779999999995
2.1056281407035176,0.749145728643216,536.9779999999995
2.1133668341708542,0.749145728643216,536.9866249999995
2.121105527638191,0.749145728643216,536.9866249999995
2.1288442211055276,0.749145728643216,536.9866249999995
2.1365829145728643,0.749145728643216,536.9952499999996
