true ang,predicted ang
-0.001257912976948565,-0.0023039799447466787
-0.001371908314052417,-0.0024952244428528823
-0.002117975941618715,-0.0017521957730547277
-0.00208613558296206,-0.0014106736041317844
-0.001683514107281942,-0.0019969134227965308
-0.002249602218741974,-0.0022553120425461435
-0.001211293532121597,-0.0015828955261161393
-0.001488747902558371,-0.0021376028412206536
-0.002912183312638012,-0.0016724369610375625
-0.001734033767419556,-0.001651123712120256
-0.001814512101725547,-0.0014868047707349784
-0.002236358914166327,-0.0015312479473880366
-0.00240710457515014,-0.0014782702370730542
-0.001443077373534285,-0.0019131545180228536
-0.001944343832119364,-0.001820273934355393
