true R,predicted R
196.6968631852552,195.52335553520805
168.3212429111531,151.98450053166343
194.2306238185255,182.4196959180057
205.7638823251418,181.3899102079396
189.7758447542533,194.91694529773156
173.5698546786389,181.1865910030718
154.7209357277883,165.85929377362936
166.6454985822306,156.43909425212658
139.8779832230624,154.66242837310958
157.5564154064272,161.92106495155943
163.9949196597354,162.5109566989602
145.2539284026465,154.1647868915406
154.9524751890359,154.91206728497156
168.4544836956522,163.5956809723535
143.0643017485822,159.70990075614367
149.8472058128544,144.03990651583175
146.8680293005671,151.05607720935723
141.6490430056711,148.69780024220228
157.1038516068053,153.46337798322298
150.5018312854442,143.79971939981095
