true I(max) d I(450),predicted I(max) d I(450)
1.698910392727449,1.665758714508825
1.585239520823121,1.4517875867159755
1.637802557121797,1.4313118050807205
1.634742388521392,1.4168729880592812
1.729721784348802,1.6304060012954882
1.69714167370502,1.5638049725648862
1.608859482696186,1.4103130068050684
1.625446581004409,1.6504518959534142
1.592686392981188,1.5108232208740942
1.655739651536227,1.6488043982123035
1.624507100376482,1.5788339457375333
1.627247680930324,1.7191256897823024
1.559380946205983,1.5099472726124603
1.579252245613847,1.6838839931884544
1.52841573693054,1.5732592660347677
1.528510147673816,1.7338314159074577
1.522668936567246,1.714923329360855
1.491365220051978,1.6535547907473789
1.614433928153909,1.512448646885483
1.700714052087046,1.6713793957826908
1.820612901300486,1.6601397546576961
1.686909360744361,1.5563158214909998
1.686295402001202,1.4686062571153362
1.79948696812979,1.6638353995857191
1.762233095722662,1.639813754617954
1.763650906873567,1.6559919741766467
1.794346745694162,1.6282977363070068
1.713686212244009,1.7328149957845522
1.710282465749797,1.7416876695228027
1.638892646281142,1.640792460060186
1.362303362825165,1.4556201161818154
1.492992736937695,1.5875697763116106
1.356299051363254,1.360976490505848
1.472938531063888,1.4868101669110714
1.388328142148536,1.5158763159092294
1.371003419519695,1.6232764971869558
1.628472333910558,1.663574881925279
1.518853129284761,1.5236717055369098
1.616941622207827,1.4974547974668666
1.593066211432122,1.528012289290887
1.452021376722172,1.4683079911089236
1.495757855537469,1.5145872772431708
1.470419891873661,1.5138107562730139
1.511154017962912,1.5695394115100072
1.381852036751447,1.4564035275460188
1.448903982848319,1.451554869738761
1.429527597925582,1.409044350310896
1.386984171588115,1.3949825387691601
1.379327925971984,1.508080785007474
1.319376332810685,1.4058397502861006
1.403770693266247,1.5446492272165195
1.409202841705632,1.5287881718584164
1.35877352090755,1.3666737153353847
1.336472168323071,1.3561803586856618
1.409302436148689,1.568063819616198
1.380173960549558,1.4251915908659356
1.419994722352833,1.417378819581733
1.379557005669413,1.4174981193839713
