true I(max) - I(450),predicted I(max) - I(450)
0.07687486814800111,0.059143701372148985
0.05776746534686951,0.05196512457627184
0.06705033155538505,0.05476121761977341
0.07410492442951966,0.06643200250181144
0.07982013915772462,0.06876827992179937
0.05945512207165712,0.06120878222589612
0.0714150642211185,0.062148444221912645
0.04739266353558153,0.049353672919092983
0.0509139017944175,0.04604917275452046
0.05627928784811256,0.05134874275969294
0.0736625041529415,0.0638559523330763
0.06823776203044579,0.060805279936550015
0.07535898786332212,0.05565002533673441
0.06777759376880137,0.06303256205186794
0.06334645453552296,0.05533536390521056
0.05095348892816169,0.06618699519746411
0.06765707265626378,0.0612618584955225
0.06260631391581283,0.05830425785476599
0.081610219074408,0.05735342682131515
0.06839970025918646,0.06448210306029084
0.0547945832994238,0.06475825995084022
0.06677986032718046,0.061642793596298595
0.06734727826239012,0.06495034871250159
0.06078653297460446,0.054762245159936475
0.05540227351832805,0.06715449343684021
0.06273267284333851,0.06298684478649028
0.05676325217967751,0.057434437016079774
0.06460660610004071,0.06415647655260842
0.05611221354587172,0.0737964040762976
0.055622887003298,0.06065492752721561
0.06763290509648912,0.07437728331441278
0.05137276837911785,0.05739826387224998
0.05800011260725857,0.06109428851439167
0.05543082646176074,0.07145960821108496
0.06355230323113398,0.062366141551511545
0.05660685983827801,0.05614525467958829
0.05196512457627185,0.057767465346869565
0.0613140309761421,0.06345766584565075
0.06524029765435248,0.0750344025750768
0.06154130021848644,0.0692148888828025
0.06441861607479975,0.06419868153873391
0.059143701372149,0.07687486814800114
0.05344217889648349,0.05762329049034167
0.06920249811290935,0.07235225173892686
0.06992201475484654,0.06713602830845569
0.07685516974641839,0.06899237649254128
0.05056898938998616,0.05172927032276137
0.05882806951440611,0.051240371823333464
0.05495633770638896,0.04918971886377732
0.04863061763783147,0.049833792573326804
0.05110436932670505,0.05227009299759959
0.04966784367274621,0.048840922178562556
0.05406687780117311,0.05771941386638627
0.04195346580524624,0.049014406525182116
0.047696090643431,0.04954402115395043
0.06636690713225168,0.06942593128496248
0.04690138693379287,0.04954958071912651
0.06731547150940051,0.06730798612341572
0.04758211013427258,0.049493938362485494
0.04855407818243287,0.05895591838428236
0.04964956181725097,0.05129166343430456
0.05718992236470294,0.05980067288314318
0.06468640142377619,0.07010896167414574
0.05318853724405911,0.05176978843868781
0.04946995034023893,0.052035457627124714
0.06001597019539837,0.06455917609269361
0.05170672954289526,0.05148439371612064
0.0680806346918163,0.06787189381367728
0.0552286488304978,0.056131524327498405
0.07265013239852888,0.06890907780272265
0.06231055835260541,0.05838462413549524
0.0629499586305523,0.0643521895213976
0.05988406643371152,0.06728687445757578
0.04885794265397375,0.05482400700022094
