true height,predicted height
37.98199999999997,37.041924999999985
49.19399999999996,42.31012499999997
41.73599999999999,37.58699999999999
42.03099999999995,50.45272499999995
37.56000000000006,43.26094999999996
39.64400000000001,39.79094999999995
39.98599999999999,39.7844125
37.58699999999999,41.73599999999995
37.60199999999998,38.38048749999998
42.35000000000002,48.57299999999998
36.94299999999998,37.182412499999984
39.66099999999994,38.76680000000003
41.35299999999995,40.20883749999996
47.12400000000002,44.38099999999998
45.73500000000001,47.24695000000001
34.89100000000008,36.99029999999997
36.25199999999995,36.957125000000005
50.48500000000001,43.41999999999995
41.03499999999997,40.00999999999998
