true I(max) d I(450),predicted I(max) d I(450)
1.698910392727449,1.7240898999300494
1.529099713664214,1.7136862122440086
1.625446581004409,1.5070671755385658
1.592686392981188,1.5293931463107902
1.655739651536227,1.7659697062529525
1.624507100376482,1.61556215606092
1.627247680930324,1.7278417335576919
1.459490396459719,1.3669872241139354
1.559380946205983,1.492849272385738
1.585239520823121,1.4361549319528466
1.637802557121797,1.4199467171915248
1.634742388521392,1.4154238948190012
1.729721784348802,1.5840019577309286
1.69714167370502,1.5845600402948885
1.608859482696186,1.4429701457004127
1.464714882859837,1.6901109353519033
1.605924064930183,1.660319158587529
1.567093861551329,1.5975595383342196
1.695558250824468,1.6336171242117985
1.706373776652635,1.585896184241543
1.491365220051978,1.659634938948327
1.616874245337826,1.6300178258374074
1.607359646982296,1.6487062771829675
1.614433928153909,1.5248639273563327
1.579252245613847,1.6562975651317404
1.566094268321539,1.7379954608113077
1.498733051185481,1.6774346215545137
1.52841573693054,1.6008898944733823
1.528510147673816,1.7347811350309665
1.522668936567246,1.7132237535490127
1.789008029328602,1.6280451516573973
1.686295402001202,1.4539217438762633
1.79948696812979,1.623729521843234
1.762233095722662,1.6917704871287977
1.763650906873567,1.696023679507824
1.794346745694162,1.5626401010649238
1.713686212244009,1.5290997136642148
1.710282465749797,1.7377016153436877
1.638892646281142,1.6786352743425694
1.700714052087046,1.6973617639927796
1.710339445870833,1.6310695030851687
1.724089899930049,1.6989103927274491
1.820612901300486,1.6192817495911025
1.686909360744361,1.579137419234727
1.60973102891643,1.5727606644809076
1.628472333910558,1.675339474694572
1.518853129284761,1.5275291160479134
1.616941622207827,1.429385665280618
1.593066211432122,1.5080658114158318
1.452021376722172,1.4774685382811423
1.495757855537469,1.532129178243366
1.470419891873661,1.5303255426471023
1.511154017962912,1.5645924028631613
1.362303362825165,1.4376266087927052
1.430809915469316,1.439277499103123
1.492992736937695,1.6040043014925103
1.356299051363254,1.4117636516280916
1.472938531063888,1.4975765920717965
1.388328142148536,1.4619038552834343
1.371003419519695,1.630270320233442
1.381852036751447,1.419608982016431
1.403770693266247,1.594340253386063
1.409202841705632,1.5194135429658462
1.35877352090755,1.4152086129602248
1.336472168323071,1.3551025500331657
1.409302436148689,1.5629890027711142
1.380173960549558,1.4340058826526492
1.419994722352833,1.4166418526760556
1.379557005669413,1.4061160832381667
1.448903982848319,1.4436085802379608
1.429527597925582,1.4259867023487163
1.386984171588115,1.4019401444567938
1.379327925971984,1.5601498866304842
1.319376332810685,1.4288480454558794
