true I(max) d I(650),predicted I(max) d I(650)
6.972817558784304,7.848736680385029
15.78478624962275,8.492563142345691
17.03703527431814,11.178991173017213
10.98473569294559,13.212927523773653
11.23435623465408,8.357655081327058
9.392069292161777,12.977506471549038
10.97270881078856,14.037802212174594
11.43171742459963,13.058004523757393
6.064292299523188,7.551470138235318
8.03308499915195,10.24335193123528
10.22679840575111,7.238138682287952
8.086666559724758,7.389902437975172
12.46430038715196,12.305083598549903
7.313234187333173,5.6943373368745425
7.389902437975174,8.086666559724755
14.03780221217459,10.97270881078856
11.08263712826987,10.739331939407899
6.452806133192458,5.870357230162563
6.759228520742268,6.700259981005966
13.14208265298673,10.85246994556909
10.64301355009437,9.415362241487042
6.406206109125732,4.255440335600116
3.975984025250214,9.272661544560405
8.115326104189299,6.482759391732365
5.266888004630141,4.134779625700905
4.828560520085657,4.397456992210532
9.92909245720877,10.192320872732301
9.701529756995516,12.470233479813459
7.810970186067999,8.938271524833501
5.279126366176878,9.512845027158088
4.97181002772498,8.290724420678231
4.452258358142387,5.692494146994903
4.010717600418594,4.556385244819515
4.241651811193235,4.038052993226827
4.515480757163514,5.271952856630525
4.257577440012154,6.611528616801296
3.939944367274304,3.9467899091124723
4.377154869677721,4.568871109721904
3.576545321792839,4.072840781873936
3.730142427725829,4.4576857531320035
3.662728161549236,3.6896484342117803
3.84267029219035,4.410221960825292
4.184889347328602,4.764196069081893
